Tiempo, LAP, Signal,Distancia
00:00.5, 8e276b,-63,0
00:00.5, 8e276b,-60,0
00:00.6, 8e276b,-64,0
00:00.6, 8e276b,-63,0
00:00.6, 8e276b,-65,0
00:00.9, 8e276b,-55,0
00:00.9, 8e276b,-65,0
00:01.0, 8e276b,-64,0
00:01.0, 8e276b,-63,0
00:01.0, 8e276b,-64,0
00:01.6, 8e276b,-55,0
00:01.6, 8e276b,-55,0
00:01.6, 8e276b,-57,0
00:01.6, 8e276b,-65,0
00:02.6, 8e276b,-49,0
00:02.6, 8e276b,-63,0
00:02.6, 8e276b,-62,0
00:02.6, 8e276b,-63,0
00:03.0, 8e276b,-63,0
00:03.0, 8e276b,-63,0
00:03.4, 8e276b,-61,0
00:03.4, 8e276b,-63,0
00:03.4, 8e276b,-62,0
00:03.5, 8e276b,-67,0
00:03.7, 8e276b,-64,0
00:03.7, 8e276b,-63,0
00:03.7, 8e276b,-62,0
00:04.3, 8e276b,-76,0
00:04.9, 8e276b,-61,0
00:05.1, 8e276b,-62,0
00:05.1, 8e276b,-65,0
00:05.1, 8e276b,-64,0
00:05.7, 8e276b,-38,0
00:05.8, 8e276b,-62,0
00:06.0, 8e276b,-65,0
00:06.1, 8e276b,-64,0
00:06.1, 8e276b,-65,0
00:06.1, 8e276b,-64,0
00:06.2, 8e276b,-65,0
00:06.5, 8e276b,-63,0
00:06.7, 8e276b,-58,0
00:06.7, 8e276b,-62,0
00:06.9, 8e276b,-63,0
00:06.9, 8e276b,-64,0
00:06.9, 8e276b,-63,0
00:07.1, 8e276b,-60,0
00:07.1, 8e276b,-61,0
00:07.5, 8e276b,-59,0
00:07.5, 8e276b,-60,0
00:07.6, 8e276b,-60,0
00:07.6, 8e276b,-66,0
00:08.7, 8e276b,-71,0
00:08.7, 8e276b,-72,0
00:08.8, 8e276b,-57,0
00:08.8, 8e276b,-57,0
00:08.8, 8e276b,-58,0
00:09.0, 8e276b,-59,0
00:09.5, 827b65,-55,0
00:09.7, 827b65,-60,0
00:09.7, 827b65,-54,0
00:10.3, 827b65,-62,0
00:10.3, 827b65,-63,0
00:10.5, 827b65,-59,0
00:10.5, 827b65,-59,0
00:10.6, 827b65,-60,0
00:11.1, 827b65,-61,0
00:11.1, 827b65,-62,0
00:11.1, 827b65,-65,0
00:11.1, 827b65,-64,0
00:11.2, 827b65,-65,0
00:11.3, 827b65,-67,0
00:11.4, 827b65,-61,0
00:11.9, 827b65,-53,0
00:12.3, 827b65,-58,0
00:13.1, 827b65,-61,0
00:13.2, 827b65,-62,0
00:13.2, 827b65,-61,0
00:13.2, 827b65,-61,0
00:13.3, 827b65,-63,0
00:13.4, 827b65,-58,0
00:13.4, 827b65,-63,0
00:13.4, 827b65,-61,0
00:14.2, 827b65,-62,0
00:14.2, 827b65,-58,0
00:14.8, 827b65,-67,0
00:14.8, 827b65,-64,0
00:14.8, 827b65,-67,0
00:14.9, 827b65,-61,0
00:14.9, 827b65,-63,0
00:15.2, 827b65,-66,0
00:15.8, 827b65,-63,0
00:15.9, 827b65,-64,0
00:15.9, 827b65,-63,0
00:16.2, 827b65,-67,0
00:16.6, 827b65,-63,0
00:16.9, 827b65,-45,0
00:16.9, 827b65,-72,0
00:17.1, 827b65,-73,0
00:17.1, 827b65,-68,0
00:17.1, 827b65,-63,0
00:17.1, 827b65,-61,0
00:17.3, 827b65,-64,0
00:17.5, 827b65,-63,0
00:17.5, 827b65,-64,0
00:18.3, 827b65,-65,0
00:18.3, 827b65,-64,0
00:18.5, 827b65,-75,0
00:19.2, 827b65,-64,0
00:19.2, 827b65,-63,0
00:19.3, 827b65,-57,0
00:19.4, 827b65,-65,0
00:20.0, 349e4a,-59,0
00:20.0, 349e4a,-60,0
00:20.2, 349e4a,-66,0
00:20.2, 349e4a,-66,0
00:20.4, 349e4a,-65,0
00:20.4, 349e4a,-64,0
00:20.4, 349e4a,-65,0
00:20.4, 349e4a,-59,0
00:20.6, 349e4a,-10,0
00:20.6, 349e4a,-58,0
00:20.7, 349e4a,-56,0
00:21.6, 349e4a,-66,0
00:21.8, 349e4a,-67,0
00:21.8, 349e4a,-63,0
00:22.1, 349e4a,-69,0
00:22.3, 349e4a,-67,0
00:22.6, 349e4a,-73,0
00:22.6, 349e4a,-73,0
00:22.8, 349e4a,-73,0
00:22.9, 349e4a,-73,0
00:23.1, 349e4a,-76,0
00:23.1, 349e4a,-66,0
00:23.5, 349e4a,-57,0
00:23.5, 349e4a,-55,0
00:24.1, 349e4a,-67,0
00:24.5, 349e4a,-67,0
00:24.5, 349e4a,-66,0
00:24.5, 349e4a,-66,0
00:24.5, 349e4a,-58,0
00:24.5, 349e4a,-68,0
00:25.3, 349e4a,-64,0
00:25.4, 349e4a,-45,0
00:25.6, 349e4a,-78,0
00:26.0, 349e4a,-61,0
00:26.0, 349e4a,-60,0
00:26.0, 349e4a,-60,0
00:26.6, 349e4a,-66,0
00:26.6, 349e4a,-68,0
00:26.6, 349e4a,-62,0
00:26.6, 349e4a,-61,0
00:26.6, 349e4a,-60,0
00:27.0, 349e4a,-60,0
00:27.0, 349e4a,-54,0
00:27.2, 349e4a,-58,0
00:27.3, 349e4a,-16,0
00:27.4, 349e4a,-62,0
00:27.6, 349e4a,-62,0
00:27.6, 349e4a,-62,0
00:27.6, 349e4a,-62,0
00:27.8, 349e4a,-60,0
00:28.0, 349e4a,-65,0
00:28.0, 349e4a,-69,0
00:28.4, 349e4a,-73,0
00:29.4, 349e4a,-71,0
00:29.4, 349e4a,-66,0
00:29.5, 349e4a,-60,0
00:29.6, 349e4a,-62,0
00:29.7, 349e4a,-63,0
00:29.9, 349e4a,-60,0
00:30.1, 349e4a,-67,0
00:30.1, 349e4a,-46,0
00:30.1, 349e4a,-59,0
00:30.8, a8390e,-65,0
00:30.8, a8390e,-64,0
00:31.0, a8390e,-61,0
00:31.2, a8390e,-70,0
00:31.4, a8390e,-66,0
00:31.4, a8390e,-65,0
00:31.4, a8390e,-64,0
00:31.6, a8390e,-68,0
00:31.6, a8390e,-68,0
00:31.6, a8390e,-65,0
