Tiempo; LAP; Signal; Distancia
00:00:02.368; 349e4a;-62;0
00:00:02.888; 349e4a;-62;0
00:00:02.900; 349e4a;-62;0
00:00:02.913; 349e4a;-62;0
00:00:03.540; 349e4a;-61;0
00:00:03.587; 349e4a;-53;0
00:00:03.917; 349e4a;-60;0
00:00:04.274; 349e4a;-50;0
00:00:04.287; 349e4a;-51;0
00:00:04.719; 349e4a;-54;0
00:00:04.740; 349e4a;-53;0
00:00:04.975; 349e4a;-60;0
00:00:05.436; 349e4a;-64;0
00:00:05.451; 349e4a;-60;0
00:00:05.594; 349e4a;-64;0
00:00:05.985; 349e4a;-56;0
00:00:05.996; 349e4a;-58;0
00:00:06.509; 349e4a;-61;0
00:00:06.632; 349e4a;-57;0
00:00:07.404; a8390e;-69;0
00:00:07.620; a8390e;-76;0
00:00:08.043; a8390e;-74;0
00:00:08.176; a8390e;-70;0
00:00:08.684; a8390e;-43;0
00:00:09.477; a8390e;-53;0
00:00:09.656; a8390e;-52;0
00:00:09.861; a8390e;-61;0
00:00:10.259; a8390e;-70;0
00:00:10.289; a8390e;-70;0
00:00:10.304; a8390e;-70;0
00:00:10.731; a8390e;-58;0
00:00:10.794; a8390e;-77;0
00:00:10.942; a8390e;-62;0
00:00:10.955; a8390e;-58;0
00:00:11.030; a8390e;-61;0
00:00:11.250; a8390e;-58;0
00:00:11.257; a8390e;-59;0
00:00:11.263; a8390e;-59;0
00:00:11.695; a8390e;-68;0
00:00:11.706; a8390e;-66;0
00:00:11.719; a8390e;-68;0
00:00:11.894; a8390e;-64;0
00:00:11.944; a8390e;-57;0
00:00:12.067; a8390e;-63;0
00:00:12.077; a8390e;-63;0
00:00:12.326; a8390e;-62;0
00:00:12.349; a8390e;-55;0
00:00:13.154; a8390e;-52;0
00:00:13.171; a8390e;-53;0
00:00:13.234; a8390e;-55;0
00:00:13.339; a8390e;-70;0
00:00:13.947; a8390e;-75;0
00:00:13.995; a8390e;-54;0
00:00:14.019; a8390e;-56;0
00:00:14.219; a8390e;-57;0
00:00:14.235; a8390e;-58;0
00:00:14.273; a8390e;-55;0
00:00:14.345; a8390e;-69;0
00:00:14.739; a8390e;-61;0
00:00:14.751; a8390e;-62;0
00:00:15.224; a8390e;-54;0
